original_relpath,size,mtime_ns,out_name
CUADERNO DOCENTE/DSC_0438.jpeg,8691697,1762263798409997800,cuaderno-docente_0008.webp
CUADERNO DOCENTE/DSC_0442.jpeg,9554543,1762263798710619700,cuaderno-docente_0009.webp
CUADERNO DOCENTE/DSC_0444.jpeg,9749282,1762263798774544200,cuaderno-docente_0010.webp
CUADERNO DOCENTE/DSC_0445.jpeg,9661635,1762263798550377000,cuaderno-docente_0011.webp
CUADERNO EMPRENDEDOR/0 emprendedor.png,1832162,1762624276718594800,cuaderno-emprendedor_0001.webp
CUADERNO EMPRENDEDOR/36.jpg,161194,1762531167044715100,cuaderno-emprendedor_0002.webp
CUADERNO EMPRENDEDOR/IMG_0020.HEIC,575602,1762263429997215100,cuaderno-emprendedor_0003.webp
CUADERNO TAPA DURA A5/1.jpg,1569315,1762540001429716600,cuaderno-tapa-dura-a5_0001.webp
CUADERNO TAPA DURA A5/13.jpg,176589,1762531104681049700,cuaderno-tapa-dura-a5_0002.webp
CUADERNO TAPA DURA A5/13b.jpg,171302,1762531111368035100,cuaderno-tapa-dura-a5_0003.webp
CUADERNO TAPA DURA A5/16.jpg,566069,1762533258787549000,cuaderno-tapa-dura-a5_0004.webp
CUADERNO TAPA DURA A5/18.jpg,558669,1762533258806754000,cuaderno-tapa-dura-a5_0005.webp
CUADERNO TAPA DURA A5/70BC2587-5B24-475F-8C55-048F830F5E0F.jpg,309923,1762541754259037700,cuaderno-tapa-dura-a5_0006.webp
CUADERNO TAPA DURA A5/DSC_0127.jpg,9747540,1762543058001174800,cuaderno-tapa-dura-a5_0007.webp
CUADERNO TAPA DURA A5/DSC_0192.jpg,7397585,1762543087805076000,cuaderno-tapa-dura-a5_0008.webp
CUADERNO TAPA DURA A5/DSC_0199.jpg,8685493,1762543100954545800,cuaderno-tapa-dura-a5_0009.webp
LIBRETAS A6/DSC_0179 (1).jpg,10586061,1762531399147650300,libretas-a6_0001.webp
personalizados/65df039fdc52402d9ff105e3f3e16f49.mov,6924833,1762541797977705000,personalizados_0001.mp4
personalizados/EEEFE898-FE27-4870-8195-871AF7CD673D.jpg,322297,1762541891673596000,personalizados_0002.webp
personalizados/F7642C33-C628-4A3B-ACBE-0A64A0F9E607.jpg,327649,1762541941244137900,personalizados_0003.webp
personalizados/IMG_0202.HEIC,1077895,1762542536167583000,personalizados_0004.webp
personalizados/IMG_0232.HEIC,1229218,1762542562076916000,personalizados_0005.webp
personalizados/IMG_0243.HEIC,987704,1762542585616877800,personalizados_0006.webp
personalizados/IMG_0249.HEIC,1632755,1762542599640221800,personalizados_0007.webp
personalizados/IMG_0250.HEIC,1482054,1762542611577528400,personalizados_0008.webp
